TME Part Number,Quantity,Part/Designator,Manufacture Part Number,TME link
MPT0.5/3-2.54,1,J302,1725669,http://www.tme.eu/de/details/mpt0.5_3-2.54/klemmleisten-fuer-pcb/phoenix-contact/mpt-05-3-254-1725669/
MPT0.5/4-2.54,1,J401,1725672,http://www.tme.eu/de/details/mpt0.5_4-2.54/klemmleisten-fuer-pcb/phoenix-contact/mpt-05-4-254-1725672/
MX-95501-2881,1,J202,955012881,http://www.tme.eu/de/details/mx-95501-2881/rj-steckverbinder/molex/955012881/
ZL202-4G,1,J301,DS1021-2*2SF1-1,http://www.tme.eu/de/details/zl202-4g/stiftleisten-und-buchsen/connfly/ds1021-2_2sf1-1/
ZL262-2SG,1,J102,DS1023-1*2S01,http://www.tme.eu/de/details/zl262-2sg/stiftleisten-und-buchsen/connfly/ds1023-1_2s01/
ZL262-26DG,1,J103,DS1023-2*13S01,http://www.tme.eu/de/details/zl262-26dg/stiftleisten-und-buchsen/connfly/ds1023-2_13s01/
ZL262-8DG,1,J101,DS1023-2*4S01,http://www.tme.eu/de/details/zl262-8dg/stiftleisten-und-buchsen/connfly/ds1023-2_13s01/
DF09PP,1,J201,DS1034-09FUNSISS,http://www.tme.eu/de/details/df09pp/d-sub-steckverbinder/connfly/ds1034-09funsiss/
DHP8-09F,1,J303,DS1037-09FNAKT74,http://www.tme.eu/de/details/dhp8-09f/d-sub-steckverbinder/connfly/ds1037-09fnakt74/
HCPL2631,1,U401,HCPL2631,http://www.tme.eu/de/details/hcpl2631/optokoppler-digitalausgang/on-semiconductor-fairchild/
